"古","ㄍㄨˇ"
"司","ㄙ"
"司徒","ㄙ ㄊㄨˊ"
"史","ㄕˇ"
"左","ㄗㄨㄛˇ"
"甘","ㄍㄢ"
"田","ㄊㄧㄢˊ"
"白","ㄅㄞˊ"
"皮","ㄆㄧˊ"
"石","ㄕˊ"
"任","ㄖㄣˊ"
"伍","ㄨˇ"
"仲","ㄓㄨㄥˋ"
"伊","ㄧ"
"全","ㄑㄩㄢˊ"
"匡","ㄎㄨㄤ"
"危","ㄨㄟˊ"
"牟","ㄇㄡˊ"
"吉","ㄐㄧˊ"
"向","ㄒㄧㄤˋ"
"后","ㄏㄡˋ"
"杜","ㄉㄨˋ"
"杞","ㄑㄧˇ"
"束","ㄕㄨˋ"
"狄","ㄉㄧˊ"
"那","ㄋㄚ"
"邢","ㄒㄧㄥˊ"
"阮","ㄖㄨㄢˇ"
"谷","ㄍㄨˇ"
"車","ㄔㄜ"
"貝","ㄅㄟˋ"
"辛","ㄒㄧㄣ"
"卓","ㄓㄨㄛˊ"
"周","ㄓㄡ"
"尚","ㄕㄤˋ"
"宗","ㄗㄨㄥ"
"宜","ㄧˊ"
"官","ㄍㄨㄢ"
"屈","ㄑㄩ"
"居","ㄐㄩ"
"幸","ㄒㄧㄥˋ"
"武","ㄨˇ"
"昌","ㄔㄤ"
"明","ㄇㄧㄥˊ"
"易","ㄧˋ"
"林","ㄌㄧㄣˊ"
"杭","ㄏㄤˊ"
"東","ㄉㄨㄥ"
"施","ㄕ"
"胡","ㄏㄨˊ"
"查","ㄓㄚ"
"柯","ㄎㄜ"
"柳","ㄌㄧㄡˇ"
"柏","ㄅㄛˊ"
"相","ㄒㄧㄤ"
,"ㄒㄧㄤˋ"
"郁","ㄩˋ"
"段","ㄉㄨㄢˋ"
"苟","ㄍㄡˇ"
"范","ㄈㄢˋ"
"范姜","ㄈㄢˋㄐㄧㄤ"
"苗","ㄇㄧㄠˊ"
"茅","ㄇㄠˊ"
"茆","ㄇㄠˇ"
"苑","ㄩㄢˊ"
"英","ㄧㄥ"
"胥","ㄒㄩ"
"秋","ㄑㄧㄡ"
"禹","ㄩˇ"
"紀","ㄐㄧˋ"
"計","ㄐㄧˋ"
"韋","ㄨㄟˊ"
"風","ㄈㄥ"
"郎","ㄌㄤˊ"
"倪","ㄋㄧˊ"
"烏","ㄨ"
"逄","ㄆㄤˊ"
"袁","ㄩㄢˊ"
"奚","ㄒㄧ"
"祝","ㄓㄨˋ"
"班","ㄅㄢ"
"荊","ㄐㄧㄥ"
"留","ㄌㄧㄡˊ"
"秦","ㄑㄧㄣˊ"
"翁","ㄨㄥ"
"索","ㄙㄨㄛˇ"
"耿","ㄍㄥˇ"
"貢","ㄍㄨㄥˋ"
"馬","ㄇㄚˇ"
"高","ㄍㄠ"
"偕","ㄐㄧㄝ"
"區","ㄡ"
"商","ㄕㄤ"
"寇","ㄎㄡˋ"
"屠","ㄊㄨˊ"
"尉","ㄨㄟˋ"
,"ㄩˋ"
"常","ㄔㄤˊ"
"崔","ㄘㄨㄟ"
"康","ㄎㄤ"
"婁","ㄌㄡˊ"
"張","ㄓㄤ"
"單","ㄕㄢˋ"
"喬","ㄑㄧㄠˊ"
"彭","ㄆㄥˊ"
"富","ㄈㄨˋ"
"甯","ㄋㄧㄥˋ"
"曾","ㄗㄥ"
"游","ㄧㄡˊ"
"湯","ㄊㄤ"
"揭","ㄐㄧㄝ"
"鄂","ㄜˋ"
"陽","ㄧㄤˊ"
"隋","ㄙㄨㄟˊ"
"惠","ㄏㄨㄟˋ"
"斯","ㄙ"
"焦","ㄐㄧㄠ"
"華","ㄏㄨㄚˋ"
"程","ㄔㄥˊ"
"嵇","ㄐㄧ"
"童","ㄊㄨㄥˊ"
"粟","ㄙㄨˋ"
"覃","ㄑㄧㄣˊ"
"舒","ㄕㄨ"
"辜","ㄍㄨ"
"賀","ㄏㄜˋ"
"買","ㄇㄞˇ"
"鈕","ㄋㄧㄡˇ"
"閔","ㄇㄧㄣˇ"
"壽","ㄕㄡˋ"
"漆","ㄑㄧ"
"鄢","ㄧㄢ"
"鄞","ㄧㄣˊ"
"榮","ㄖㄨㄥˊ"
"熊","ㄒㄩㄥˊ"
"蒲","ㄆㄨˊ"
"蒙","ㄇㄥˊ"
"蓋","ㄍㄜˇ"
"蒯","ㄎㄨㄞˇ"
"甄","ㄓㄣ"
"端","ㄉㄨㄢ"
"端木","ㄉㄨㄢㄇㄨˋ"
"褚","ㄔㄨˇ"
"臺","ㄊㄞˊ"
"裴","ㄆㄟˊ"
"管","ㄍㄨㄢˇ"
"綦","ㄑㄧˊ"
"趙","ㄓㄠˋ"
"翟","ㄓㄞˊ"
"聞","ㄨㄣˊ"
"臧","ㄗㄤ"
"銀","ㄧㄣˊ"
"齊","ㄑㄧˊ"
"劉","ㄌㄧㄡˊ"
"厲","ㄌㄧˋ"
"樊","ㄈㄢˊ"
"閻","ㄧㄢˊ"
"霍","ㄏㄨㄛˋ"
"駱","ㄌㄨㄛˋ"
"鮑","ㄅㄠˋ"
"龍","ㄌㄨㄥˊ"
"禤","ㄒㄩㄢ"
"蕭","ㄒㄧㄠ"
"應","ㄧㄥˋ"
"戴","ㄉㄞˋ"
"薄","ㄅㄛˊ"
"薛","ㄒㄩㄝ"
"濮","ㄆㄨˊ"
"糜","ㄇㄧˊ"
"繆","ㄇㄧㄠˋ"
"謝","ㄒㄧㄝˋ"
"韓","ㄏㄢˊ"
"鍾","ㄓㄨㄥ"
"鞠","ㄐㄩˊ"
"藍","ㄌㄢˊ"
"薩","ㄙㄚˋ"
"叢","ㄘㄨㄥˊ"
"瞿","ㄑㄩˊ"
"簡","ㄐㄧㄢˇ"
"聶","ㄋㄧㄝˋ"
"歸","ㄍㄨㄟ"
"豐","ㄈㄥ"
"闕","ㄑㄩㄝˋ"
"籃","ㄌㄢˊ"
"鐘","ㄓㄨㄥ"
"闞","ㄎㄢˋ"
"黨","ㄉㄤˇ"
"蘭","ㄌㄢˊ"
"顧","ㄍㄨˋ"
"饒","ㄖㄠˊ"
"酈","ㄌㄧˋ"
"權","ㄑㄩㄢˊ"
"龔","ㄍㄨㄥ"
"欒","ㄌㄨㄢˊ"
